seed_idx,seed_alpha0_dec,seed_beta0_dec,seed_alpha0_hex,seed_beta0_hex,alpha0,beta0,alphaR,betaR,alpha0_hex,beta0_hex,alphaR_hex,betaR_hex,cw_total
451,28282,121,0x6e7a,0x79,28282.0,121.0,97.0,65.0,0x6e7a,0x79,0x61,0x41,7.0
836,65138,93,0xfe72,0x5d,65138.0,93.0,97.0,65.0,0xfe72,0x5d,0x61,0x41,8.0
627,6034,102,0x1792,0x66,6034.0,102.0,6.0,4.0,0x1792,0x66,0x6,0x4,8.0
847,31087,237,0x796f,0xed,31087.0,237.0,13.0,9.0,0x796f,0xed,0xd,0x9,8.0
32,60200,180,0xeb28,0xb4,60200.0,180.0,48.0,32.0,0xeb28,0xb4,0x30,0x20,8.0
840,59511,183,0xe877,0xb7,59511.0,183.0,49.0,33.0,0xe877,0xb7,0x31,0x21,9.0
340,27225,174,0x6a59,0xae,27225.0,174.0,12.0,8.0,0x6a59,0xae,0xc,0x8,9.0
991,13930,65040,0x366a,0xfe10,,,,,,,,,inf
990,59882,4267,0xe9ea,0x10ab,,,,,,,,,inf
989,4737,20316,0x1281,0x4f5c,,,,,,,,,inf
988,5426,4542,0x1532,0x11be,,,,,,,,,inf
987,12121,63730,0x2f59,0xf8f2,,,,,,,,,inf
986,19946,54177,0x4dea,0xd3a1,,,,,,,,,inf
985,21661,46022,0x549d,0xb3c6,,,,,,,,,inf
984,8299,61122,0x206b,0xeec2,,,,,,,,,inf
983,36519,11854,0x8ea7,0x2e4e,,,,,,,,,inf
982,60661,1689,0xecf5,0x699,,,,,,,,,inf
981,28152,20627,0x6df8,0x5093,,,,,,,,,inf
980,57741,62798,0xe18d,0xf54e,,,,,,,,,inf
979,36793,46170,0x8fb9,0xb45a,,,,,,,,,inf
978,7635,36342,0x1dd3,0x8df6,,,,,,,,,inf
977,6074,3683,0x17ba,0xe63,,,,,,,,,inf
976,20095,6411,0x4e7f,0x190b,,,,,,,,,inf
15,27258,56962,0x6a7a,0xde82,,,,,,,,,inf
14,32757,57363,0x7ff5,0xe013,,,,,,,,,inf
13,15134,3314,0x3b1e,0xcf2,,,,,,,,,inf
12,41214,41384,0xa0fe,0xa1a8,,,,,,,,,inf
11,35687,33240,0x8b67,0x81d8,,,,,,,,,inf
10,59194,6129,0xe73a,0x17f1,,,,,,,,,inf
9,10334,24459,0x285e,0x5f8b,,,,,,,,,inf
8,40835,1167,0x9f83,0x48f,,,,,,,,,inf
7,32794,30617,0x801a,0x7799,,,,,,,,,inf
6,11241,51700,0x2be9,0xc9f4,,,,,,,,,inf
5,52200,41147,0xcbe8,0xa0bb,,,,,,,,,inf
4,13520,16148,0x34d0,0x3f14,,,,,,,,,inf
3,23177,5139,0x5a89,0x1413,,,,,,,,,inf
2,34355,25397,0x8633,0x6335,,,,,,,,,inf
1,12373,61130,0x3055,0xeeca,,,,,,,,,inf
992,4910,63645,0x132e,0xf89d,,,,,,,,,inf
47,16128,58018,0x3f00,0xe2a2,,,,,,,,,inf
46,22793,12628,0x5909,0x3154,,,,,,,,,inf
45,52679,46100,0xcdc7,0xb414,,,,,,,,,inf
44,35469,52173,0x8a8d,0xcbcd,,,,,,,,,inf
43,51457,36744,0xc901,0x8f88,,,,,,,,,inf
42,46815,11315,0xb6df,0x2c33,,,,,,,,,inf
41,40506,50626,0x9e3a,0xc5c2,,,,,,,,,inf
40,31995,30256,0x7cfb,0x7630,,,,,,,,,inf
39,62262,52168,0xf336,0xcbc8,,,,,,,,,inf
38,5589,7465,0x15d5,0x1d29,,,,,,,,,inf
37,39737,45351,0x9b39,0xb127,,,,,,,,,inf
36,31935,23337,0x7cbf,0x5b29,,,,,,,,,inf
35,56580,41463,0xdd04,0xa1f7,,,,,,,,,inf
34,59381,43498,0xe7f5,0xa9ea,,,,,,,,,inf
33,41585,64333,0xa271,0xfb4d,,,,,,,,,inf
63,27203,58338,0x6a43,0xe3e2,,,,,,,,,inf
62,63639,43483,0xf897,0xa9db,,,,,,,,,inf
61,25711,41759,0x646f,0xa31f,,,,,,,,,inf
60,46452,31512,0xb574,0x7b18,,,,,,,,,inf
59,61550,63755,0xf06e,0xf90b,,,,,,,,,inf
58,43843,52513,0xab43,0xcd21,,,,,,,,,inf
57,40576,53395,0x9e80,0xd093,,,,,,,,,inf
56,58353,55223,0xe3f1,0xd7b7,,,,,,,,,inf
55,10435,5328,0x28c3,0x14d0,,,,,,,,,inf
54,49804,52140,0xc28c,0xcbac,,,,,,,,,inf
53,46526,21317,0xb5be,0x5345,,,,,,,,,inf
52,30968,36041,0x78f8,0x8cc9,,,,,,,,,inf
51,43934,49918,0xab9e,0xc2fe,,,,,,,,,inf
50,51115,9549,0xc7ab,0x254d,,,,,,,,,inf
49,58702,37350,0xe54e,0x91e6,,,,,,,,,inf
48,58113,65074,0xe301,0xfe32,,,,,,,,,inf
79,20171,49110,0x4ecb,0xbfd6,,,,,,,,,inf
78,28999,55883,0x7147,0xda4b,,,,,,,,,inf
77,27701,61771,0x6c35,0xf14b,,,,,,,,,inf
76,64070,51882,0xfa46,0xcaaa,,,,,,,,,inf
75,10994,52405,0x2af2,0xccb5,,,,,,,,,inf
74,51565,45941,0xc96d,0xb375,,,,,,,,,inf
73,34446,64016,0x868e,0xfa10,,,,,,,,,inf
72,59762,6818,0xe972,0x1aa2,,,,,,,,,inf
71,5391,46630,0x150f,0xb626,,,,,,,,,inf
70,29824,44926,0x7480,0xaf7e,,,,,,,,,inf
69,41215,17957,0xa0ff,0x4625,,,,,,,,,inf
68,55405,42126,0xd86d,0xa48e,,,,,,,,,inf
67,10244,5496,0x2804,0x1578,,,,,,,,,inf
66,52767,39678,0xce1f,0x9afe,,,,,,,,,inf
65,13984,3385,0x36a0,0xd39,,,,,,,,,inf
